NR Palety;Item Desc;EAN;ASIN;Stan;Kraj;WARTOŚĆ;;SUMA;Odbiorca:;Restock;12,00%
23669-656;Amazon Basics 'Everyday' Spannbetttuch aus 100%, Baumwolle, 140 x 200 x 30 cm - Hellgrau;0192233002651;B0713SLN3L;A-Ware;DE;15,99;Wartość euro;6 937,57 €;;;
23669-656;Amazon Basics 'Everyday' Spannbetttuch aus 100%, Baumwolle, 140 x 200 x 30 cm - Hellgrau;0192233002651;B0713SLN3L;A-Ware;DE;15,99;Wartość zł;29 276,55 zł;;;
23669-656;Amazon Basics 'Everyday' Spannbetttuch aus 100%, Baumwolle, 140 x 200 x 30 cm - Hellgrau;0192233002651;B0713SLN3L;A-Ware;DE;15,99;12,00%;3 513,19 zł;;;
23669-656;Amazon Basics - Bettwäsche-Set, Mikrofaser, 200 x 200 cm, Leicht Mikrofaser, marineblau, schlichtes Karo;0844178061209;B07B9S2DL8;A-Ware;DE;16,29;;;;;
23669-656;Amazon Basics - Bettwäsche-Set, Satin - 135 x 200 cm / 50 x 80 cm x 1, Dunkelgrau;0887719087467;B07H3X6NY7;A-Ware;DE;19,99;;;;;
23669-656;Amazon Basics - Deluxe-Spannbetttuch, Mikrofaser, gestreift, 180 x 200 cm - Marineblau;0844178057974;B01LXT4ZA1;A-Ware;DE;15,81;;;;;
23669-656;Amazon Basics - Deluxe-Spannbetttuch, Mikrofaser, gestreift, 180 x 200 cm - Marineblau;0844178057974;B01LXT4ZA1;A-Ware;DE;15,81;;;;;
23669-656;Amazon Basics - Deluxe-Spannbetttuch, Mikrofaser, gestreift, 180 x 200 cm - Marineblau;0844178057974;B01LXT4ZA1;A-Ware;DE;15,81;;;;;
23669-656;Amazon Basics - Deluxe-Spannbetttuch, Mikrofaser, gestreift, 90 x 200 cm - Marineblau;0841710193275;B01LY4U8N8;A-Ware;DE;16,02;;;;;
23669-656;Amazon Basics - Ergonomische kabellose Maus mit Schnell-Scrolling, kompakte Größe - Schwarz;0192233013602;B078F698CQ;A-Ware;DE;16,02;;;;;
23669-656;Amazon Basics - Premium-Spannbetttuch, Jersey, Hellblau - 140 x 200 cm;0192233046242;B07G8Z4PTT;A-Ware;DE;15,49;;;;;
23669-656;Amazon Basics - Schwamm für trocken abwischbare Whiteboards, 8er-Pack;0811540030224;B07LFTZK9J;A-Ware;DE;9,99;;;;;
23669-656;Amazon Basics - Urbane Laptop-Hülle, für Laptops bis 29,46 cm - grau;0194211000048;B07QJ9MPNW;A-Ware;DE;19,99;;;;;
23669-656;Amazon Basics - Urbane Laptop-Hülle, für Laptops bis 29,46 cm - grau;0194211000048;B07QJ9MPNW;A-Ware;DE;19,99;;;;;
23669-656;Amazon Basics - Verbindungskabel, USB Typ C auf Micro-USB Typ B, USB-2.0-Standard, doppelt geflochtenes Nylon, 0,9 m, Dunkelgrau;0192233024776;B07CWDYP18;A-Ware;DE;14,99;;;;;
