NR Palety;Item Desc;EAN;ASIN;LPN;ilość;Unit Retail;WARTOŚĆ;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY;;;SUMA;Odbiorca:;Restock;18,00%;;;;;;;;
AM38160_90029531567;Catit Pixi Smart Feeder automatique pour chats, contrĂ´lĂ© par une application, pour 1,2 kg;15561013666;B093MF7X18;LPNHE919225404;1;98,24;98,24;Pet Products;gl_pet_products;19900200;Habitats & Supplies;19900219;Feeders;;Wartość euro;3 269,46 €;;;;;;;;;;;
AM38160_90029531567;VEMER VE794100 OT1 - Thermostat d'ambiance hebdomadaire modulant pour chaudiĂ¨re avec protocole OpenTherm, Blanc;8,00795E+12;B0BC1BV9J1;LPNHE924777243;1;88,6;88,6;Home;gl_home;20100800;Housewares;20100813;Laundry Baskets;;Wartość zł;14 254,85 zł;;;;;;;;;;;
AM38160_90029531567;WĂśSTHOF Diamant-SchĂ¤rfstab 26 cm, Schwarz / Silber;4,00229E+12;B0916294YJ;LPNHE942951649;1;75,89;75,89;Home;gl_home;20100500;Cutlery & Knives;20100519;Knife Sharpeners;;18,00%;2 565,87 zł;;;;;;;;;;;
AM38160_90029531567;LICHIFIT BoĂ®te de Collecte de poussiĂ¨re avec Filtre Hepa pour aspirateur Robot iRobot Roomba 800 900 Series 870 860 880 960;;B07RBX5B8S;LPNHE942877449;1;73,425;73,425;Home;gl_home;20100800;Housewares;7930203;Cylinder Vacuum Bagless;;;;;;;;;;;;;;
AM38160_90029531567;Bra Olla Presion Rapida Tekna 6 L;8,4118E+12;B01F97TWA2;LPNIC000881767;1;65,99;65,99;Home;gl_home;20100400;Cookware;20100416;Pressure Cookers;;;;;;;;;;;;;;
AM38160_90029531567;Emos Termostato de ambiente inalĂˇmbrico con soporte OpenTherm, programable, para sistemas de calefacciĂłn - Transmisor+receptor - Regulador de temperatura ambiente - Montaje en superficie;8,59292E+12;B08MV4RCQR;LPNWE291027394;1;65,72;65,72;Home;gl_home;20100700;Home Decor;20100702;Alarm Clocks;;;;;;;;;;;;;;
AM38160_90029531567;MAGEFESA STAR Olla presiĂłn rĂˇpida de fĂˇcil uso, acero inoxidable 18/10, apta para todo tipo de cocinas, incluido inducciĂłn. Fondo termodifusor encapsulado de 5capas, excelente distribuciĂłn del calor;8,42911E+12;B00KAYSHVA;LPNIC000728690;1;65,5;65,5;Home;gl_home;20100800;Housewares;20100801;Bottle Racks;;;;;;;;;;;;;;
AM38160_90029531567;"Disney Traditions, Figura de Pumba, TimĂłn y Simba de ""El Rey LeĂłn"", para coleccionar, Enesco";28399219278;B07T5JVX63;LPNWE287873290;1;63,76;63,76;Home;gl_home;20100700;Home Decor;20100709;Collectibles;;;;;;;;;;;;;;
AM38160_90029531567;Catit Pixi Bebedero fuente de acero inoxidable para Gatos, 2.5 l, Blanca;22517437209;B096WB6PBD;LPNHE938403483;1;61,185;61,185;Pet Products;gl_pet_products;19900200;Habitats & Supplies;19900216;Outdoor Enclosures;;;;;;;;;;;;;;
AM38160_90029531567;Set de 2 REV-Shutter - Interrupteur pour volet Roulant connectĂ© - DiO Connect;5,41148E+12;B0C4VYP3MP;LPNHE941336502;1;51,3;51,3;Home;gl_home;20100700;Home Decor;20100701;Accessory & Decoration;;;;;;;;;;;;;;
AM38160_90029531567;Bialetti Caffettiera Moka Express Color, 6 Tazze, Manico anti scottatura, Non adatta a induzione, 6 Tazze (250 ml), Alluminio, Rosso;8,00636E+12;B071CGGMRG;LPNHE940456365;1;50,56;50,56;Home;gl_home;20101300;Tools, Gadgets & Barware;20101307;Coffee & Tea Accessories;;;;;;;;;;;;;;
