NR Palety;Item Desc;EAN;ASIN;LPN;Ilosc;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
AM38160_90029539604;Cricut Joy | Kompakte smarte Bastelmaschine im Starter-Bundle | Edition 2024 | Maschine und Materialien;93573570186;B0CXCFM5BS;LPNHK397076870;1;213,42;213,42;Wartość euro;1 577,63 €;;;;;Home;gl_home;20100200;Arts, Crafts & Sewing;20100212;Scrapbooking
AM38160_90029539604;Vactidy Aspirateur Robot T7, Robot Aspirateur Laveur 2 en 1, 120min d'Autonomie, App/Alexa/Siri/IFTTT ContrĂ´le, Mince et Silencieux,IdĂ©al pour Les Poils d'animaux, Cheveux, PoussiĂ¨reâ€¦;6,92484E+12;B0C534Z51C;LPNHE931337584;1;149;149;Wartość zł;6 878,47 zł;;;;;Home;gl_home;7930200;Floorcare;7930208;Robotic Vacuums
AM38160_90029539604;STARLEAD Miroir-Salle-de-Bain-avec-Ă‰clairage 80x80cm avec Bluetooth et Anti-buĂ©e, Miroir-LED-Salle-de-Bain avec 3 Couleurs LumiĂ¨re, Gradable, MĂ©moire, IP44 Verre TrempĂ© CarrĂ© Miroir-Mural;86972629586;B093WQMTCG;LPNHE914287277;1;138,795;138,795;18,00%;1 238,12 zł;;;;;Home;gl_home;;;;
AM38160_90029539604;Batterie 10 StĂĽck TĂ¶pfe 16-18-20 cm Pfanne 20-22-26 cm satiniert Deckel 16-18-20 cm 1 Griff;3,50851E+12;B0BTZ4YV7C;LPNHE945586170;1;89;89;;;;;;;Home;gl_home;20100400;Cookware;20100405;Cookware Sets
AM38160_90029539604;WENKO Tabouret Wing Panier Ă  Linge, Tabouret de Salle de Bain avec Sac Ă  Linge Amovible Blanc;4,00884E+12;B07DM3996W;LPNHE933880943;1;84,78;84,78;;;;;;;Home;gl_home;20100800;Housewares;20100808;Home Storage & Organization
;WMF Profi Resist Bratpfanne Induktion 28 cm, Mehrschichtmaterial beschichtet, Wabenstruktur, Edelstahlgriff, backofenfest;82247970766;B00BN8MB5U;LPNHE929091464;1;79,99;79,99;;;;;;;Home;gl_home;20100400;Cookware;20100414;Pans
;Thermohauser PrĂ©sentoir Ă  gĂ˘teaux, rond, en aluminium, Ă  3 Ă©tages;4,26026E+12;B004WWRENS;LPNRP041460475;1;72,79;72,79;;;;;;;Home;gl_home;20100300;Bakeware;20100309;Cake Tins
;BedDog Hundebett XXL - Hundekissen - Hundekorb - Hundecouch - Hundesofa - Bezug abziehbar, Waschbar, fĂĽr Mittel-GroĂźe Hunde;5,90176E+12;B073XLDR15;LPNRP046472176;1;59,51;59,51;;;;;;;Pet Products;gl_pet_products;19900200;Habitats & Supplies;19900204;Bed Products
;Estoralis | Infantiles | Estor Enrollable DiseĂ±o Moderno | TranslĂşcido Estampado Digital | Modelo I-2037 | 150 x 180 cm (Ancho/Alto) TamaĂ±o Tela 147 x 175 cm | Estores para Ventanas y Puertas;8,4324E+12;B08NF9W585;LPNHE933783111;1;57,35;57,35;;;;;;;Home;gl_home;20101000;Linens;20101011;Curtains
;Ezcasch 90x200cm Perlenvorhang TĂĽrvorhang als Dekoration & Insektenschutz 38 StrĂ¤nge Bohemian-Stil Bambusvorhang Handwerk aus Bambus & Holzperlen fĂĽr Fenster/Zimmer, Bunt Regenbogen;;B0CXS6HVKJ;LPNHE940568857;1;54,57;54,57;;;;;;;Home;gl_home;;;;
;Slybear Kopfkissen 80x80 2er Set -2 StĂĽck Kissen, SeitenschlĂ¤ferkissen, orthopĂ¤disches Kissen mit hochwertiger FĂĽllung und atmungsaktivem Bezug fĂĽr Allergiker, Waschbare Schlafkissen, weich & stĂĽtzend;;B0DBY548FF;LPNHE940827668;1;45,165;45,165;;;;;;;Home;gl_home;;;;
;Sealskin Brix, Cube mural grand, Noir;4,00891E+12;B07SZCNX5B;LPNIC123347708;1;41,95;41,95;;;;;;;Home;gl_home;20100700;Home Decor;20100704;Bathroom Accessory
;Dreamzie Ergonomisches Venenkissen Beinhochlagerungskissen Made in EU und OEKO TEX - Beinkissen Memory-Schaum - Beinauflage Atmungsaktiv Waschbar Hypoallergen;3,70122E+12;B0843QPW6S;LPNHE943043522;1;40,14;40,14;;;;;;;Home;gl_home;20101000;Linens;20101024;Pillows
;Dee.Romg Spiegel GroĂź 150x40 cm Standspiegel und Wandspiegel in einem, GanzkĂ¶rperspiegel fĂĽr Wand und Boden, Moderner Mirror in WeiĂź Spiegel fĂĽr Ankleidezimmer, Wohnzimmer, Flur und mehr;7,38191E+11;B0DLW17KMX;LPNHE943235785;1;34,575;34,575;;;;;;;Home;gl_home;;;;
;EHEYCIGA Topper Matrimoniale 160x190, Memory Foam Topper Materasso Respirabile con Tasca Extra Profonda, Bianco;;B0C73QV7CZ;LPNHE940655876;1;33,195;33,195;;;;;;;Home;gl_home;;;;
;AeroPress Cafetera Original â€“ MĂˇquina de CafĂ© y Espresso PortĂˇtil de Nivel Barista con CĂˇmara, Ă‰mbolo y Filtros â€“ PreparaciĂłn RĂˇpida de CafĂ© y Espresso;6,45771E+11;B000GXZ2GS;LPNHF002425729;1;30,25;30,25;;;;;;;Home;gl_home;20101200;Tabletop;20101204;Coffee Pots
;AeroPress Cafetera Original â€“ MĂˇquina de CafĂ© y Espresso PortĂˇtil de Nivel Barista con CĂˇmara, Ă‰mbolo y Filtros â€“ PreparaciĂłn RĂˇpida de CafĂ© y Espresso;6,45771E+11;B000GXZ2GS;LPNHF002425730;1;30,25;30,25;;;;;;;Home;gl_home;20101200;Tabletop;20101204;Coffee Pots
;LOMONI Cestino per rifiuti da 8 litri, in stile nordico, con coperchio a molla, in plastica, con coperchio, per bagno, cucina, camera da letto, ufficio, ovale, colore: nero;7,70153E+12;B07MYW9JVH;LPNRP038076284;1;27,375;27,375;;;;;;;Home;gl_home;20100800;Housewares;20100812;Kitchen Storage & Organization
;MASTERTOP Escaliers pour Chiens Ă  3 Marches en Ă‰ponge Haute DensitĂ©, Ă‰chelle Large pour Animaux de Compagnie, Escaliers Chien AntidĂ©rapant avec Housse Amovible pour Monter CanapĂ© et Lit (Noir);;B0D2XPQT94;LPNHE943043424;1;26,73;26,73;;;;;;;Pet Products;gl_pet_products;;;;
;Amazon Basics Trainingspads fĂĽr Hunde und Welpen, auslaufsicheres 5-lagiges Design mit schnell trocknender OberflĂ¤che, Normal (100StĂĽck), Blau;8,4171E+11;B00MW8G62E;LPNHE945594128;1;26,68;26,68;;;;;;;Pet Products;gl_pet_products;19900400;Training & Behaviour;19900401;Litter & Odour
;Amazon Basics Trainingspads fĂĽr Hunde und Welpen, auslaufsicheres 5-lagiges Design mit schnell trocknender OberflĂ¤che, Normal (100StĂĽck), Blau;8,4171E+11;B00MW8G62E;LPNHE898757331;1;26,68;26,68;;;;;;;Pet Products;gl_pet_products;19900400;Training & Behaviour;19900401;Litter & Odour
;Paderno Plaque Ă  Pizza rectangulaire, en Fer, Bleue, 50 x 35 cm;8,01481E+12;B00BIZBLQI;LPNHE941146540;1;26,43;26,43;;;;;;;Home;gl_home;20100400;Cookware;20100414;Pans
;Wellong KleiderbĂĽgel Samt, 45 cm rutschfeste Filz BĂĽgel, Stabile AnzugbĂĽgel mit Schulterkerben, Platzsparende KleiderbĂĽgel fĂĽr MĂ¤ntel, Hosen, Silbe, 36 StĂĽck â€“ CrĂ¨me mit Goldene Haken;;B0DB1CBN9V;LPNHK397894610;1;24,135;24,135;;;;;;;Home;gl_home;;;;
;WAVVE Couette Hiver 450GSM en Microfibre, Ă‰dredon Lit 2 Personnes 220x240 cm, Edredon Toutes Les Saisons pour Lit 140x190/160x200, Grand Chaud Ă‰pais Garnissage 450g/mÂ˛, 240x220 Blanc;8,4366E+12;B0986GRTDK;LPNHE940342063;1;23,67;23,67;;;;;;;Home;gl_home;;;;
;Tefal Easy Cook & Clean Bratpfanne 28 cm, Antihaftbeschichtung, Thermo-Signal Temperaturindikator, Schwarz, B5550633;3,16843E+12;B08ZSXPTVW;LPNHE931634192;1;22,5;22,5;;;;;;;Home;gl_home;20100400;Cookware;20100414;Pans
;Exo Terra Faunarium, AllzweckbehĂ¤lter fĂĽr Reptilien, Amphibien, MĂ¤use und Insekten, groĂź flach, 46,5 x 30,5 x 18cm;15561223102;B0002AR48Y;LPNHE942339967;1;22,49;22,49;;;;;;;Pet Products;gl_pet_products;19900800;Aquaristics and Terraristics;19900804;Terraristic Supplies
;keeeper Aufbewahrungsbox mit Air Control System, 59 x 39 x 35 cm, 52 l, Bea, Transparent;4,0524E+12;B01N4E7AOY;LPNHE945565460;1;21,99;21,99;;;;;;;Home;gl_home;20100800;Housewares;20100808;Home Storage & Organization
;Americanflat A4 Bilderrahmen fĂĽr Kinderzeichnungen in Schwarz - Zeigt 22x28 mit Passepartout & 25x32 ohne Passepartout - Verbundholz mit Bruchsicherem Glas - Horizontale & Vertikale Versionen;8,29376E+11;B07J9PK3JJ;LPNHE945586037;1;20,99;20,99;;;;;;;Home;gl_home;19303000;Unisex Accessories;19303005;Belts
;APSMILE Bettdecke 200x200 Sommer mit Daunen Federn - 100% Bio-Baumwolle Leichte Sommerdecke Daunendecke 200x200 - DĂĽnne Federbettdecke with RDS Zertifiziert fĂĽr Tierwohl - WeiĂź;;B0DQPQ3G62;LPNHE943038790;1;16,83;16,83;;;;;;;Home;gl_home;;;;
;Traumnacht FaserfĂĽllung / KissenfĂĽllung, 1kg, weiĂź, Ă–ko-Tex zertifiziert, produziert nach deutschem QualitĂ¤tsstandard;4,00647E+12;B01MCYZ793;LPNHK396682208;1;14,9;14,9;;;;;;;Home;gl_home;20101000;Linens;20101024;Pillows
AM38160_90029539604;BOXPACKING | Cartons DĂ©mĂ©nagement | Lot de 10 Boite Carton Demenagement, Emballage | 50x30x30 cm | Avec PoignĂ©es | Boite Rangement Carton;8,4254E+12;B089YXXF41;LPNHE940274124;1;12,51;12,51;;;;;;;Home;gl_home;;;;
AM38160_90029539604;GARDINIA Spannstange, Metall-Stange, Ausziehbar, Gardinenstange ohne Bohren und Schrauben, Ă 23/26 mm, LĂ¤nge 60-100 cm, Schwarz-matt;4,00302E+12;B07X5M5RLQ;LPNHK354583366;1;8,99;8,99;;;;;;;Home;gl_home;20101000;Linens;20101012;Curtains Accessories
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
