NR Palety;Item Desc;EAN;ASIN;LPN;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
16742813;MODSTER Mini Xero Monster Truck Ă©lectrique sans balais 4WD 1:16 RTR;4,25559E+12;B0C9QJ5RSR;LPNIC082493377;234,3;234,3;Wartość euro;16 918,43 €;;;;;;Toy;gl_toy;2100400;Vehicles;2100403;Mini Vehicles
16742813;PokĂ©mon-Sammelkartenspiel: Ultra-Premium-Kollektion Karmesin & Purpur â€“ 151;8,2065E+11;B0CBD8JW3P;LPNHE823072757;159,99;159,99;Wartość zł;73 764,35 zł;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100316;Strategic Trading Card Games (europe Only)
16742813;VTech - KidiCom Advance 3.0 Noir, Portable Enfant Sans Forfait SĂ©curisĂ© â€“ 6/12 Ans â€“ Version FR;3,41777E+12;B097DSVVKK;LPNRP026134640;152,99;152,99;18,00%;13 277,58 zł;;;;;;Toy;gl_toy;2102500;;2102501;
90029521188;Scarlatto e Violetto Collezione Ultra Premium Terapagos ex (IT);8,20651E+11;B0DFD23Q9B;LPNHE911597576;149,96;149,96;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100335;
90029521188;Scarlatto e Violetto Collezione Ultra Premium Terapagos ex (IT);8,20651E+11;B0DFD23Q9B;LPNHE911727478;149,96;149,96;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100335;
90029521188;Scarlatto e Violetto Collezione Ultra Premium Terapagos ex (IT);8,20651E+11;B0DFD23Q9B;LPNHE911731553;149,96;149,96;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100335;
16742813;Pokemon TCG: Scarlet and Violet: TEMPORAL Forces: Booster Display Box;8,20651E+11;B0CS33S7BJ;LPNHE815773941;145,62;145,62;;;;;;;;Toy;gl_toy;2101300;;2101305;
90029481807;VTech - KidiCom Advance 3.0 Noir, Portable Enfant sans Forfait SĂ©curisĂ© â€“ 6/12 Ans â€“ Version FR;3,41777E+12;B097DSVVKK;LPNHE921135318;139,99;139,99;;;;;;;;Toy;gl_toy;2102500;;2102501;
16742257;FRANZIS FRANZIS-67501 67501-Motore Ford Mustang V8, Kit Motore Fedele all'originale in Scala 1:4, incl. modulo sonoro, Istruzioni e Libretto di 100 Pagine, Colore Trasparente, 67501;4,01963E+12;B0BVBN57L2;LPNA047720808;139,7;139,7;;;;;;;;Toy;gl_toy;2102000;Building Sets;2102001;Building Sets (3 Years Old and More)
16742257;Giochi Preziosi Vector Stunt Jet, Aereo RC Telecomandato per Bambini, VelocitĂ  50Kmh, Acrobazie con Pulsante Stunt, Struttura Resistente agli Urti, Ricaricabile via USB;8,05638E+12;B0C5N7KY86;LPNA047843545;135,405;135,405;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100406;Remote Control Vehicles
